3M                                                     94  MAPLEWOOD           MN55144     91584   
OWENS CORNING                                          458 TOLEDO              OH43659     16000   
OWENS-ILLINOIS                                         401 PERRYSBURG          OH43551     27000   
PACCAR                                                 164 BELLEVUE            WA98004     23000   
PACIFIC LIFE                                           302 NEWPORT BEACH       CA92660     3628    
PACKAGING CORP. OF AMERICA                             450 LAKE FOREST         IL60045     14000   
PARKER-HANNIFIN                                        251 CLEVELAND           OH44124     48950   
PATTERSON                                              466 SAINT PAUL          MN55120     7000    
PAYPAL HOLDINGS                                        264 SAN JOSE            CA95131     18100   
PBF ENERGY                                             172 PARSIPPANY          NJ7054      3165    
PENSKE AUTOMOTIVE GROUP                                142 BLOOMFIELD HILLS    MI48302     24000   
PEPSICO                                                44  PURCHASE            NY10577     264000  
PERFORMANCE FOOD GROUP                                 171 RICHMOND            VA23238     13000   
PETER KIEWIT SONS'                                     324 OMAHA               NE68131     20000   
PFIZER                                                 54  NEW YORK            NY10017     96500   
PG&E CORP.                                             157 SAN FRANCISCO       CA94105     24000   
PHILIP MORRIS INTERNATIONAL                            104 NEW YORK            NY10017     79500   
PHILLIPS 66                                                                                        
PLAINS GP HOLDINGS                                     141 HOUSTON             TX77002     5100    
PNC FINANCIAL SERVICES GROUP                           166 PITTSBURGH          PA15222     50683   
PPG INDUSTRIES                                         183 PITTSBURGH          PA15272     47000   
PPL                                                    365 ALLENTOWN           PA18101     12689   
PRAXAIR                                                275 DANBURY             CT6810      26498   
PRICELINE GROUP                                        268 NORWALK             CT6854      18500   
PRINCIPAL FINANCIAL                                    227 DES MOINES          IA50392     14854   
PROCTER & GAMBLE                                       36  CINCINNATI          OH45202     105000  
PROGRESSIVE                                            120 MAYFIELD VILLAGE    OH44143     31721   
PRUDENTIAL FINANCIAL                                   48  NEWARK              NJ7102      49739   
PUBLIC SERVICE ENTERPRISE GROUP                        308 NEWARK              NJ7102      13065   
PUBLIX SUPER MARKETS                                   85  LAKELAND            FL33811     191000  
PULTEGROUP                                             353 ATLANTA             GA30326     4623    
PVH                                                    335 NEW YORK            NY10016     26650   
QUALCOMM                                               119 SAN DIEGO           CA92121     30500   
QUANTA SERVICES                                        355 HOUSTON             TX77056     28100   
QUEST DIAGNOSTICS                                      366 SECAUCUS            NJ7094      43000   
QUINTILES TRANSNATIONAL HOLDINGS                       390 DURHAM              NC27703     50000   
R.R. DONNELLEY & SONS                                  388 CHICAGO             IL60606     44360   
RALPH LAUREN                                           371 NEW YORK            NY10022     20500   
RAYMOND JAMES FINANCIAL                                469 SAINT PETERSBURG    FL33716     11900   
RAYTHEON                                               116 WALTHAM             MA2451      63000   
REALOGY HOLDINGS                                       448 MADISON             NJ7940      11800   
REGIONS FINANCIAL                                      436 BIRMINGHAM          AL35203     22166   
REINSURANCE GROUP OF AMERICA                           246 CHESTERFIELD        MO63017     2371    
RELIANCE STEEL & ALUMINUM                              320 LOS ANGELES         CA90071     14500   
REPUBLIC SERVICES                                      299 PHOENIX             AZ85054     33000   
REYNOLDS AMERICAN                                      223 WINSTON-SALEM       NC27101     5525    
RITE AID                                               91  CAMP HILL           PA17011     70580   
ROBERT HALF INTERNATIONAL                              493 MENLO PARK          CA94025     16400   
ROCKWELL AUTOMATION                                    442 MILWAUKEE           WI53204     22000   
ROCKWELL COLLINS                                       492 CEDAR RAPIDS        IA52498     19000   
ROSS STORES                                            219 DUBLIN              CA94568     78600   
RYDER SYSTEM                                           394 MIAMI               FL33178     34500   
S&P GLOBAL                                             459 NEW YORK            NY10041     20000   
SALESFORCE.COM                                         326 SAN FRANCISCO       CA94105     25000   
SANMINA                                                414 MILPITAS            CA95035     40178   
SEABOARD                                               486 SHAWNEE MISSION     KS66202     11781   
SEALED AIR                                             397 ELMWOOD PARK        NJ7407      23000   
SEARS HOLDINGS                                         127 HOFFMAN ESTATES     IL60179     140000  
SEMPRA ENERGY                                          280 SAN DIEGO           CA92101     16575   
SHERWIN-WILLIAMS                                       236 CLEVELAND           OH44115     42550   
SIMON PROPERTY GROUP                                   477 INDIANAPOLIS        IN46204     4050    
SONIC AUTOMOTIVE                                       287 CHARLOTTE           NC28211     9800    
SOUTHERN                                               145 ATLANTA             GA30308     32015   
SOUTHWEST AIRLINES                                     138 DALLAS              TX75235     53536   
SPARTANNASH                                            350 BYRON CENTER        MI49315     11500   
SPIRIT AEROSYSTEMS HOLDINGS                            393 WICHITA             KS67210     14400   
ST. JUDE MEDICAL                                       434 SAINT PAUL          MN55117     18000   
STANLEY BLACK & DECKER                                 250 NEW BRITAIN         CT6053      54023   
STAPLES                                                140 FRAMINGHAM          MA1702      61503   
STARBUCKS                                              131 SEATTLE             WA98134     254000  
STATE FARM INSURANCE COS.                              33  BLOOMINGTON         IL61710     68234   
STATE STREET CORP.                                     271 BOSTON              MA2111      33783   
STEEL DYNAMICS                                         347 FORT WAYNE          IN46804     7695    
STRYKER                                                252 KALAMAZOO           MI49002     33000   
SUNTRUST BANKS                                         303 ATLANTA             GA30308     24375   
SUPERVALU                                              158 EDEN PRAIRIE        MN55344     38000   
SYMANTEC                                               465 MOUNTAIN VIEW       CA94043     11000   
SYNCHRONY FINANCIAL                                    185 STAMFORD            CT6902      15000   
